type,line,original,modern,english,id,title,description
line,3877,genen y feth confortis,"genen y fydh konfortys,","By us he shall be comforted,",,,
line,3878,in forth wella,y'n fordh wella.,The best way.,,,
line,3879,dotho megyans,Dhodho megyans,Nourishment to him,,,
line,3880,degen dyblans,degyn diblans,Let us bear clearly,,,
line,3881,the orth an formyer guella,dhiworth an Formyer gwella.,From the best Creator.,,,
stage,,Descendunt,,,,,
blank,,,,,,,
stage,,[organs or syngyng,,They descend. [Organs or singing.,,,
blank,,,,,,,
speaker,,GABRIEL 3882,Gabriel,GABRIEL.,,,
line,3882,Meryasek lowena dis,"Meryasek, lowena dhis!","Meriasek, joy to thee !",,,
line,3883,crist ker regyn danvoneys,Krist ker re'gan dannvonas,Dear Christ hath sent us,,,
line,3884,oma prest theth confortya,"omma prest dhe'th konfortya,",Here now to comfort thee.,,,
line,3885,kyn theses ov thyr penys,kynth esos owth hir benys,Though thou art at three penances,,,
line,3886,oma ty a veth megys,omma ty a vydh megys,Here thou shalt be nourished,,,
line,3887,gans boys eleth in torma,gans boes eledh y'n tor' ma.,With angels' food this turn.,,,
blank,,,,,,,
stage,,Sumens cibum cum laudibus diuinis epulis quotidie sentit se refectum,Sumens cibum cum laudibus diuinis epulis,"Taking sustenance with praises of God, every day he feels himself recruited with sumptuous food.",,,
blank,,,,,,,
blank,,,,,,,
speaker,,MERIADOCUS,Meriadocus,MERIASEK [kneels.,,,
stage,,[genuflectit,,,,,
line,3888,Ihesu arluth nor ha neff,"Yesu, Arloedh nor ha nev","Jesu, Lord of earth and heaven",,,
line,3889,"pup vrol rebo gorthys (revo? {F.N., 224} )",pub eur oll re bo gordhys.,"Always be worshipped,",,,
line,3890,"ihesu crist nynseseth greff {F.C., 1}","Yesu Krist, ny'n jevydh grev","Jesu Christ, there will not be grief [grief has not gone]",,,
blank,,,,,,,
line,3891,in bysma ath lel wonys,y'n bys ma a'th lel wonis.,In this world from thy loyal service.,,,
line,3892,ihesu dyso y crasseeff,"Yesu, dhiso y krassav.","Jesu, to thee I give thanks.",,,
line,3893,gans boys neff pan of megys,"Gans boes nev pan ov megys,","Since by heaven's food I am fed,",,,
line,3894,ihesu arluth ny dovtyeff,"Yesu, Arloedh, ny dhoutyav","Jesu, Lord, I fear not",,,
line,3895,kyn fen treddeth ov penys,kyn fen tri dydh ow penys.,Though I be three days at penance.,,,
blank,,,,,,,
blank,,,,,,,
section,,,,,silvester3,Silvester Part 3,The Dragon
blank,,,,,,,
stage,,Hic dux .i. primus Magus pompabit,Hic dux .i. primus Magus pompabit,"Here a Duke, to wit, the first Magician, shall parade.",,,
blank,,,,,,,
line,3896,Me yv arluth heb parov,"My yw arloedh heb parow,","I am a lord without peers,",,,
line,3897,duk inweth astronymer,"dug, ynwedh astronomer.","A duke, likewise an astronomer.",,,
line,3898,the helghya heb feladov,Dhe  helghya heb falladow,To hunt without fail,,,
line,3899,the prince par del yv dufer,dhe bryns par dell yw devar,As it is a duty for a prince,,,
line,3900,moys me a vyn,"mos my a vynn,","I will go,",,,
line,3901,ha geneff cowethe da,ha genev kowetha da.,And with me comrades good.,,,
line,3902,an epscop purguir a thuea,An epskop pur wir a dheu,The bishop right truly he will come,,,
line,3903,the certen plas er ov fyn,dhe sertan plas er ow fynn.,To a certain place to meet me.,,,
blank,,,,,,,
speaker,,DUX .i. SECUNDUS MAGUS 3904,Dux .i. secundus magus,"A DUKE, to wit, THE SECOND MAGICIAN.",,,
line,3904,Besy yv thyn bones war,Bysi yw dhyn bones war.,Need it is for us to be wary.,,,
line,3905,yma dragon vras heb mar,Yma dragon vras heb mar,There is a great dragon without doubt,,,
line,3906,in caff oma rebon ny,yn kav omma rybon ni.,In a cave here by us.,,,
line,3907,mar a tuny er y fyn,Mara teun ni er hy fynn,If we come against her,,,
line,3908,marov on bras ha byyn,marow on bras ha byghan.,Dead are we great and small.,,,
line,3909,da yv boys fur eredy,Da yw bos fur yredi.,It is well to be wise readily.,,,
blank,,,,,,,
speaker,,VENATOR,Venator,HUNTSMAN [to the Dukes the Magi.,,,
stage,,[ducibus magos,,,,,
line,3910,Yma oma tus arvov,"Yma omma tus arvow,","Here there are armed folk,",,,
line,3911,hag archers gans guaregov,hag archers gans gwaregow,And archers with bows,,,
line,3912,abel purguir dy latha,abel pur wir dh'y ladha.,From afar right truly to slay her.,,,
line,3913,"me ny thovtya gans ov huen {F.C., 13}","My ny dhoutyav gans ow heun,","I fear not with my hounds,",,,
line,3914,marnes y a vo ree luen,marnas i a vo re leun,Unless they shall be too full,,,
line,3915,kyns es dybarth y squerdya,"kyns es dibarth, hy skwardya.",Before parting to tear her.,,,
stage,,[descendit cum armatores,,[he goes down with armed men.,,,
stage,,Hic episcopus poly pompabit,Hic episcopus poly pompabit,Here the bishop of Pola shall parade.,,,
blank,,,,,,,
speaker,,[EPISCOPUS POLI] 3916,,,,,
line,3916,Me yv epscop a theveys,My yw epskop a dhevis,3916 I am a bishop exactly (?),,,
line,3917,ha parlet mur ov rasov,ha parlet meur ow rasow.,"And a prelate, great my graces.",,,
line,3918,y tethewys nansyv meys,Y tedhewis nans yw mis,"I have promised, it is now a month,",,,
line,3919,mones inhans then prasov,mones yn-hons dhe'n prasow,To go down to the meadows,,,
line,3920,erbyn duk magus a breys,"erbynn dug Magus a brys,","To meet Duke Magus of price,",,,
line,3921,den fur in y worthebov,den fur yn y worthybow.,A man wise in his answers.,,,
line,3922,ov crosyer ota parys,"Ow krosser, o'ta parys","My crucifer, art thou ready",,,
line,3923,lemen thum gormennadov,lemmyn dhe'm gor'mynnadow?,Now according to my orders ? [order],,,
blank,,,,,,,
speaker,,CROSSER EPISCOPI POLI 3924,Crosser episcopi poli,THE BISHOP OF POLA'S CRUCIFER.,,,
line,3924,Me yv parys arluth da,"My yw parys, arloedh da.","I am ready, good lord.",,,
line,3925,sav guan revle yma oma,Saw gwann rewl yma omma,But a bad rule is here,,,
line,3926,na yllyn lefya kyn moys,na yllyn livya kyn' mos.,That we may not dine before going.,,,
line,3927,gvak yv thym an pengasen,Gwag yw dhymm an penn-gasenn.,Empty have I the end of the paunch (?).,,,
line,3928,a molleth du in gegen,"A, molleth Dyw y'n gegin,","O God's curse in the kitchen,",,,
line,3929,schant yv an dewes han boys,skant yw an diwes ha'n boes.,Scant is the drink and the food.,,,
stage,,Descendunt,,[They go down.,,,
blank,,,,,,,
speaker,,EPISCOPUS POLI 3930,Episcopus Poli,BISHOP OF POLA.,,,
line,3930,Heyl dyugh duk nobil magus,Hayl dhywgh dug nobyl Magus!,"Hail to you, noble Duke Magus !",,,
line,3931,me ham crosser presagus,"My ha'm krosser, Presagus,","I and my crozier-bearer, Praesagus,",,,
line,3932,reduth dywy ʒe sportya,re dheuth dhy'hwi dhe sportya.,Have come to you to sport.,,,
line,3933,na wethen ree then ternans,"Na withyn ni re dhe'n tir-nans,","Let us not keep overmuch to the low land,",,,
line,3934,rag yma dragon dyblans,"rag yma dragon diblans,","For there is a dragon clearly,",,,
line,3935,hag onen vras sur omma,"hag onan vras, sur omma.","And a big one, surely here.",,,
blank,,,,,,,
speaker,,PRIMUS DUX MAGUS 3936,Primus dux Magus,FIRST DUKE MAGUS.,,,
line,3936,"Now wolcum ffadyr byschyp {F.C., 1}",Now wolkomm ffadyr byschyp!,"Now welcome, father bishop !",,,
line,3937,ny thue dragon me a dyp,Ny dheu dragon my a dyb,The [A] dragon will not come I think,,,
line,3938,oges thynny,ogas dhyn ni.,Near to us.,,,
line,3939,mar thue in syght me an gor,"Mar teu yn syght, my a'n goer,","If she come in sight, I know it,",,,
line,3940,yma omma pobil lor,yma omma pobel lowr,Here there are people enough,,,
line,3941,rag y latha eredy,rag hy ladha yredi.,To slay her readily.,,,
stage,,[her ye dragon aredy in ye place,,[Here the dragon ready in the open space,,,
blank,,,,,,,
speaker,,SECUNDUS DUX MAGUS 3942,Secundus dux Magus,SECOND DUKE MAGUS.,,,
line,3942,Na drestiyn ny the henna,Na drestyn ni dhe henna.,Let us not trust to that,,,
line,3943,arlythy duen alema,"Arlydhi, deun alemma!","Lords, let us come hence !",,,
line,3944,attahy sur defethys,Ottahi sur devedhys!,Behold her surely unconquered !,,,
line,3945,out drethy bethen marov,"Out, dredhi bydhyn marow",Out ! by her we shall be dead,,,
line,3946,gans flam tan mes ay ganov,gans flamm tan mes a'y ganow.,With flame of fire out of her mouth.,,,
line,3947,nys gorta myl den ervys,Ny's gorta mil dhen ervys.,A thousand armed men abide her not.,,,
stage,,[her a gonn yn y dragon ys movthe aredy & fyr,<her a gonn yn y dragon ys movthe aredy & fyr,[Here a gun ready in the dragon's mouth and fire.,,,
blank,,,,,,,
speaker,,PRIMUS DUX 3948,Primus dux,FIRST DUKE.,,,
line,3948,Hov dehesugh warnethy,"Hou, deghesewgh warnedhi!","How, strike at her !",,,
line,3949,"nansus ran lenkis gonsy (gensy {F.C.,+ 13 ""gonsy probably a scribe's error for gensy""})",Nans eus rann lenkys gensi.,Now are some swallowed by her !,,,
stage,,[sum of ye sovdrys y sowlyd,,[Some of the soldiers swallowed.,,,
line,3950,pythyv an iovle a reny,Pyth an jowl a wren ni?,What the devil shall we do ?,,,
line,3951,mahom reges ancumbra,Mahomm re'gas ankomppro!,May Mahound cumber you !,,,
line,3952,in agen meske ov scumbla,Yn agan mysk ow skombla,Amongst us dunging,,,
line,3953,avel wy mark attahy,"avel oy, mark, ottahi!","Like water [an egg], mark ! behold her !",,,
blank,,,,,,,
speaker,,EPISCOPUS POLI 3954,Episcopus Poli,THE BISHOP OF POLA.,,,
line,3954,A gony gony fyen,"A go-ni, go-ni, fien,","Ah woe's us, woe's us ! let us flee",,,
line,3955,ken marov bras ha byen,"ken marow bras ha byghan,","Else dead, great and small,",,,
line,3956,re corff mahum on oma,"re gorf Mahomm, on omma.","By Mahound's body, we are here.",,,
line,3957,duen then emperour costentyn,"Deun dhe'n emperour Costentyn,","Let us come to the emperor Constantine,",,,
line,3958,ha dotho eff leveryn,"ha dhodho ev leveryn,","And to him let us tell,",,,
line,3959,y vryans eff yv helma,y wrians ev yw hemma.,His lordship is this.,,,
blank,,,,,,,
speaker,,PRIMUS DUX,primus dux,FIRST DUKE to Constantine.,,,
stage,,[constantinum,,,,,
line,3960,Heyl ser emperour costentyn,"Hayl, syrr emperour Kostentyn!","Hail, sir emperor Constantine !",,,
line,3961,ha warnes ny a cry out,ha warnas ni a kri 'Out'.,And on thee we cry out.,,,
line,3962,deswreys yv an pov lemyn,"Diswrys yw an pow lemmyn,","Undone is the country now,",,,
line,3963,ha der the wryens heb dovt,ha der dha wryans heb dout,And throughout thy lordship without doubt,,,
line,3964,lues marov,lies marow.,Many dead.,,,
line,3965,an dragon vrays us in caff,An dhragon vras eus y'n kav,The great dragon that is in a cave,,,
line,3966,vn den the gerthes ay saff,unn den dhe gerdhes a'y sav,One man to go from his standing,,,
line,3967,ny gas nan lathe heb wov,ny as ma'n lattho heb wow.,She will not let without killing him truly.,,,
blank,,,,,,,
speaker,,EPISCOPUS POLI 3968,Episcopus Poli,BISHOP OF POLA.,,,
line,3968,Bythqueth ny vue vays in pov,Bythkweyth ny veu 'vas y'n pow,Never has there been good in the country,,,
line,3969,aban vys crystyan heb wov,a-ban veus Kristyon heb wow.,Since thou becamest a christian without a lie.,,,
line,3970,molleth du war ath treylas,Molleth Dyw war a'th trelyas!,God's curse on him who converted thee !,,,
line,3971,ny glowys gans den genys,Ny glywis gans den genys,I have not heard that any one born,,,
line,3972,a worthya crist nygythys,a wordhya Krist negedhys,Who worshipt evil Christ,,,
line,3973,bythqueth the faria in fays,bythkweyth dhe fara yn fas.,Ever faxed well.,,,
blank,,,,,,,
speaker,,CONSTANTINUS 3974,Constantinus,CONSTANTINE.,,,
line,3974,Arlythy eugh wy war gam,"Arlydhi, ewgh hwi war gamm.","Lords, go your way.",,,
line,3975,crist ha maria y vam,Krist ha Maria y Vamm,Christ and Mary his Mother,,,
line,3976,dua rag agen gueras,deu rag agan gweres.,Will come to help us.,,,
line,3977,dus oma ov maseger,"Deus omma, ow messejer,","Come here, my messenger,",,,
line,3978,ha kergh uskys sylvester,ha kyrgh uskis Sylvester,And fetch quickly Silvester,,,
line,3979,the covs gena a fur spas,dhe gows gene' a verr spas.,To speak with me for [in] a short space.,,,
blank,,,,,,,
speaker,,NUNCIUS,Secundus Nuncius,MESSENGER to Constantine.,,,
stage,,[constantinum,,,,,
line,3980,Costentyn arluth somper,"Kostentyn, arloedh somper,","Constantine, lord without equal,",,,
line,3981,me a doro syluester,my a dhoro Sylvester,I will bring Silvester,,,
line,3982,oma dywy an vorov,omma dhy'hwi an vorow.,Here to you to-morrow.,,,
line,3983,ny goske welen indan droys,Ny gosk hwilenn yn-dann droes,"A rod shall not sleep under foot,",,,
line,3984,na nefre ny debre boys,na nevra ny dhybra' boes,Nor ever shall I eat food.,,,
line,3985,er na govsen orth y ganov,erna gowssen orth y anow.,Until I speak at his mouth.,,,
stage,,[ad syluestrem,,[To Silvester.,,,
line,3986,Siluester lowena dys,"Sylvester, lowena dhis!","Silvester, joy to thee !",,,
line,3987,then emperour dones uskys,Dhe'n emperour dones uskis,To the emperor to come forthwith,,,
line,3988,reys yv thywy in certeyn,"Res yw dhy'hwi yn sertan,","Need is for you certainly,",,,
line,3989,rag ef a vyn covs orthys,rag ev a vynn kows orthis,For he will speak to thee,,,
line,3990,pur wyr lemmyn,pur wir lemmyn.,Right truly now.,,,
stage,,[finit,,,,,
blank,,,,,,,
speaker,,SILVESTER,Silvester,SILVESTER. [Silvester goes down.,,,
stage,,[descentit siluester,,,,,
line,3991,The constentyn me a due,Dhe Konstentyn my a dheu,To Constantine I will come,,,
line,3992,thy comondment benythe,dh'y gommondment bynytha:,According to his command ever.,,,
line,3993,eff yv arluth mur y nel,ev yw arloedh meur y nell.,He is lord : great his might.,,,
stage,,[constantinum,,[To Constantine.,,,
line,3994,ser emperour dyugh lowene,"Syrr emperour, dhywgh lowena!","Sir Emperor, joy to you !",,,
line,3995,oma prest me re dufe,Omma prest my re dheuva,Here at once I have come,,,
line,3996,ha ny vynnys lettya pel,ha ny vynnis lettya pell.,And I would not hinder long.,,,
blank,,,,,,,
speaker,,IMPERATOR CONSTANTINUS 3997,Imperator Constantinus,EMPEROR CONSTANTINE.,,,
line,3997,Ima oma sur dragon,Yma omma sur dragon,There is here surely a dragon.,,,
line,3998,ov latha pobil dyson,ow ladha pobel dison,Slaying people,,,
line,3999,heb numbyr sur del clowa,heb nomber sur dell glywa'.,"Without number surely, as I hear,",,,
line,4000,tovlel a rons warnavy,Tewlel a wrons warnav vy,They do cast on me,,,
line,4001,bones an causer defry,bones an kawser devri,That I am the causer really,,,
line,4002,begythys rag ov bosa,besydhys rag ow bos-a.,For my being baptized.,,,
stage,,[descendit constantinum,,[Constantine goes down.,,,
blank,,,,,,,
speaker,,SYLUESTER 4003,Syluester,SILVESTER.,,,
line,4003,Dre voth crist arluth avan,"Dre vodh Krist, Arloedh a-vann,",Through the will of Lord Christ above,,,
line,4004,an dragan me a ra guan,an dhragon my a wra gwann,The dragon I will pierce,,,
line,4005,dregen in pov na relle,dregyn y'n pow na wrello.,So that she may not do hurt in the country.,,,
line,4006,may welle myns us in rome,May hwello myns eus yn Rom,So that all that are in Rome may see,,,
line,4007,"ihesu crist a bev ry dome (rydome {F.C., 1; 13} )",Yesu Krist a biw ri dom,"Jesus Christ owns the (right of) giving doom, [sovranty]",,,
line,4008,ha gul kepar del vynne,ha gul kepar dell vynno.,And doth as he will.,,,
blank,,,,,,,
speaker,,PRIMUS DUX magus 4009,Primus dux Magus,FIRST DUKE MAGUS.,,,
blank,,,,,,,
line,4009,Cans den lethys war ov feth,"Kans den ledhys war ow fydh,","A hundred men slain, on my faith,",,,
line,4010,nav re vue sur in vn geth,now re beu sur yn unn jydh,Now were surely in one day,,,
line,4011,prest gensy hy,prest gensi hi.,By her [At once by her].,,,
line,4012,mar qureth y ouercummya,Mar kwredh hy overkommya,If thou canst overcome her,,,
line,4013,the crist ny a vyn treyla,dhe Krist ni a vynn trelya.,To Christ we will turn.,,,
line,4014,var off ny yllyth defry,"War ov, ny yllydh devri.",I am aware that thou wilt not be able really.,,,
blank,,,,,,,
speaker,,SYLVESTER 4015,Sylvester,SILVESTER.,,,
line,4015,Thum peiadov alema,Dhe'm pysadow alemma,According to my prayer hence,,,
line,4016,mones a vanna rygthy,mones a vynnav rygdhi.,I would go before her. [he kneels.,,,
stage,,[genuflectit,,,,,
blank,,,,,,,
speaker,,IHC. 4017,IHC,JESUS.,,,
line,4017,Pedyr lemen thymo kea,"Pedyr, lemmyn dhymmo ke","Peter, now for me go",,,
line,4018,the syluester eredy,dhe Sylvester yredi.,To Silvester readily.,,,
line,4019,gueyt in tek y confortye,Gwayt yn teg y gonfortya,"Take care fairly to comfort him,",,,
line,4020,ha gans henne y desky,ha gans henna y dhyski,And therewithal to teach him.,,,
line,4021,an dragon y ra fethe,an dhragon y hwra fetha,The dragon he will vanquish,,,
line,4022,der ov gallus eredy,der ow galloes yredi.,Through my power readily.,,,
blank,,,,,,,
line,4023,ytheseff orth y care,Yth esov orth y gara:,"I am loving him,",,,
line,4024,ny vanna y ankevy,ny vynna' y ankevi.,I will not forget him.,,,
blank,,,,,,,
speaker,,PETRUS 4025,Petrus,PETER.,,,
line,4025,Arluth the voth me a ra,"Arloedh, dha vodh my a wra,","Lord, thy will I shall do,",,,
line,4026,syluester scon y guarnya,Sylvester skon y warnya,(And) Silvester at once warn him,,,
line,4027,an dragon nangeffo ovn,a'n dhragon na'n jeffo own.,Of the dragon that he should not have fear.,,,
line,4028,eff as led avel on doff,"Ev a's led avel oen dov,","He will lead her like a tame lamb,",,,
line,4029,ha der gallus du in proff,ha der alloes Dyw yn prov,And through God's power in proof,,,
line,4030,as comond then dysert dovn,a's kommond dhe'n dysert down.,Will command her to the deep desert.,,,
blank,,,,,,,
stage,,descendit petrus,descendit petrus  <solus ad sylvestrem in placea,Peter descends [alone to Silvester in the open space.,,,
stage,,[solus ad syluestrem in placea,,,,,
blank,,,,,,,
line,4031,Syluester wek beth lowen,"Sylvester hweg, bydh lowen!","Silvester sweet, be glad !",,,
line,4032,crist a vyn orthys certen,Krist a vynn orthis sertan,Christ will for thee certainly,,,
line,4033,fethe purguir an dragon,fetha pur wir an dhragon.,Defeat right truly the dragon.,,,
line,4034,the ij chaplen kemery,Dha dhew japlen kemmer i,"Thy two chaplains, take them",,,
line,4035,genes thegy eredy,genes dhejy yredi,"With thee to her readily,",,,
line,4036,"ha gueres ad (hag ad (ath) weres? {F.C., 13} ) du dyson","ha gweres a dheu dison,",And help from thy God at once. [And God will help thee at once],,,
blank,,,,,,,
speaker,,SYLVESTER 4037,Sylvester,SILVESTER.,,,
line,4037,Arluth neff rum gueresa,Arloedh nev re'm gweresso!,Lord of heaven help me !,,,
line,4038,me ny won thum confortia,My ny wonn dhe'm konfortya,I know not to comfort me,,,
